id,name,name_with_owner,url,created_at,stars,crawled_at
1062547209,subscription-tracker,muhammadbaddar/subscription-tracker,https://github.com/muhammadbaddar/subscription-tracker,2025-09-23 12:00:01,0,2025-09-23
1062547245,model-visualizer-edgard,maartenhvdh/model-visualizer-edgard,https://github.com/maartenhvdh/model-visualizer-edgard,2025-09-23 12:00:06,0,2025-09-23
1062547398,Zaika-e-Hyderabadi,Sameer99Pro/Zaika-e-Hyderabadi,https://github.com/Sameer99Pro/Zaika-e-Hyderabadi,2025-09-23 12:00:19,0,2025-09-23
1062547409,json-parser,davisenra/json-parser,https://github.com/davisenra/json-parser,2025-09-23 12:00:20,0,2025-09-23
1062547424,projet_CSC_FabLab,Nawo-pingu/projet_CSC_FabLab,https://github.com/Nawo-pingu/projet_CSC_FabLab,2025-09-23 12:00:22,0,2025-09-23
1062547510,sport-backend,ChYousaf987/sport-backend,https://github.com/ChYousaf987/sport-backend,2025-09-23 12:00:30,0,2025-09-23
1062547619,OtavioBank,ReiOtavio/OtavioBank,https://github.com/ReiOtavio/OtavioBank,2025-09-23 12:00:40,0,2025-09-23
1062547770,F1-Reaction-Test,Walkerslav983/F1-Reaction-Test,https://github.com/Walkerslav983/F1-Reaction-Test,2025-09-23 12:01:00,0,2025-09-23
1062547800,yoga_bot,goddevils777/yoga_bot,https://github.com/goddevils777/yoga_bot,2025-09-23 12:01:02,0,2025-09-23
1062547838,weather-dashboard,Adityaranjanpatra/weather-dashboard,https://github.com/Adityaranjanpatra/weather-dashboard,2025-09-23 12:01:05,0,2025-09-23
1062547867,bibliotheque-vr,laurentGurbala/bibliotheque-vr,https://github.com/laurentGurbala/bibliotheque-vr,2025-09-23 12:01:08,0,2025-09-23
1062547878,78daU8n2ac_,yudayar/78daU8n2ac_,https://github.com/yudayar/78daU8n2ac_,2025-09-23 12:01:09,0,2025-09-23
1062547922,crud-laravel,sebascelis03/crud-laravel,https://github.com/sebascelis03/crud-laravel,2025-09-23 12:01:13,0,2025-09-23
1062547934,package-skeleton-filamentphp,glisandro/package-skeleton-filamentphp,https://github.com/glisandro/package-skeleton-filamentphp,2025-09-23 12:01:15,0,2025-09-23
1062548021,Airline_Ticket_Reservation_System_Using_OOP,deepasreeedneer/Airline_Ticket_Reservation_System_Using_OOP,https://github.com/deepasreeedneer/Airline_Ticket_Reservation_System_Using_OOP,2025-09-23 12:01:23,0,2025-09-23
1062548361,blogrepo001,Lewiston001/blogrepo001,https://github.com/Lewiston001/blogrepo001,2025-09-23 12:02:00,0,2025-09-23
1062548370,a11y_fixe,Talha-Aslam/a11y_fixe,https://github.com/Talha-Aslam/a11y_fixe,2025-09-23 12:02:01,0,2025-09-23
1062548371,remix-admin-template,yeju1015/remix-admin-template,https://github.com/yeju1015/remix-admin-template,2025-09-23 12:02:01,0,2025-09-23
1062548439,blank-app,poojag-22/blank-app,https://github.com/poojag-22/blank-app,2025-09-23 12:02:07,0,2025-09-23
1062548798,tp-tac_gestion-autos,manuelKrivoy/tp-tac_gestion-autos,https://github.com/manuelKrivoy/tp-tac_gestion-autos,2025-09-23 12:02:37,0,2025-09-23
1062548912,portfolio_platform_1,akhil-successiveTech/portfolio_platform_1,https://github.com/akhil-successiveTech/portfolio_platform_1,2025-09-23 12:02:48,0,2025-09-23
1062549167,Foundation_Tasks,adamKraftStratusolve/Foundation_Tasks,https://github.com/adamKraftStratusolve/Foundation_Tasks,2025-09-23 12:03:10,0,2025-09-23
1062549195,css-box-model-sayalii17,acciojob/css-box-model-sayalii17,https://github.com/acciojob/css-box-model-sayalii17,2025-09-23 12:03:13,0,2025-09-23
1062549229,Airobots,moustafaelsafy2-prog/Airobots,https://github.com/moustafaelsafy2-prog/Airobots,2025-09-23 12:03:16,0,2025-09-23
1062549416,placementdrive2025,Sahilarora83/placementdrive2025,https://github.com/Sahilarora83/placementdrive2025,2025-09-23 12:03:28,0,2025-09-23
1062549485,real-estate,nwosumick/real-estate,https://github.com/nwosumick/real-estate,2025-09-23 12:03:35,0,2025-09-23
1062549566,ASSIGNMENT-5,palsoham22/ASSIGNMENT-5,https://github.com/palsoham22/ASSIGNMENT-5,2025-09-23 12:03:42,0,2025-09-23
1062549710,distributor-invoices,hassan-m-maker/distributor-invoices,https://github.com/hassan-m-maker/distributor-invoices,2025-09-23 12:03:55,0,2025-09-23
1062549849,laravel-pagebuilder,tjfcreations/laravel-pagebuilder,https://github.com/tjfcreations/laravel-pagebuilder,2025-09-23 12:04:09,0,2025-09-23
1062550229,Image-Captioining-with-Generative-AI,mahbub19601/Image-Captioining-with-Generative-AI,https://github.com/mahbub19601/Image-Captioining-with-Generative-AI,2025-09-23 12:04:49,0,2025-09-23
1062550238,activity,narendradewangan/activity,https://github.com/narendradewangan/activity,2025-09-23 12:04:50,0,2025-09-23
1062550290,Unifolio,navooonil/Unifolio,https://github.com/navooonil/Unifolio,2025-09-23 12:04:55,0,2025-09-23
1062550372,ashutosh-mishra-dev-learn-about-react-context-api-with-small-project-The-Atomic-Blog,ashutosh-mishra-dev/ashutosh-mishra-dev-learn-about-react-context-api-with-small-project-The-Atomic-Blog,https://github.com/ashutosh-mishra-dev/ashutosh-mishra-dev-learn-about-react-context-api-with-small-project-The-Atomic-Blog,2025-09-23 12:05:02,0,2025-09-23
1062550388,swa72407f6931b246598dafd270f8aca83b,static-web-apps-testing-org/swa72407f6931b246598dafd270f8aca83b,https://github.com/static-web-apps-testing-org/swa72407f6931b246598dafd270f8aca83b,2025-09-23 12:05:03,0,2025-09-23
1062550453,attendance-system,trunks07/attendance-system,https://github.com/trunks07/attendance-system,2025-09-23 12:05:09,0,2025-09-23
1062550524,codesamples,haynako56/codesamples,https://github.com/haynako56/codesamples,2025-09-23 12:05:17,0,2025-09-23
1062550629,Event-Planner,darellpdll-stack/Event-Planner,https://github.com/darellpdll-stack/Event-Planner,2025-09-23 12:05:28,0,2025-09-23
1062550683,app-1,hakoi7j/app-1,https://github.com/hakoi7j/app-1,2025-09-23 12:05:34,0,2025-09-23
1062550706,swa6cd95e5a349a4cbb891c3e1b0ded8d14,static-web-apps-testing-org/swa6cd95e5a349a4cbb891c3e1b0ded8d14,https://github.com/static-web-apps-testing-org/swa6cd95e5a349a4cbb891c3e1b0ded8d14,2025-09-23 12:05:37,0,2025-09-23
1062550709,swa72eb0fe329b94c8abd5353c50c76646d,static-web-apps-testing-org/swa72eb0fe329b94c8abd5353c50c76646d,https://github.com/static-web-apps-testing-org/swa72eb0fe329b94c8abd5353c50c76646d,2025-09-23 12:05:38,0,2025-09-23
1062550758,swaa3893dbe4c094fa29fc69686fc75bf5d,static-web-apps-testing-org/swaa3893dbe4c094fa29fc69686fc75bf5d,https://github.com/static-web-apps-testing-org/swaa3893dbe4c094fa29fc69686fc75bf5d,2025-09-23 12:05:42,0,2025-09-23
1062550763,swa65fabfcac0784eda9ee65ddbcd4587c3,static-web-apps-testing-org/swa65fabfcac0784eda9ee65ddbcd4587c3,https://github.com/static-web-apps-testing-org/swa65fabfcac0784eda9ee65ddbcd4587c3,2025-09-23 12:05:43,0,2025-09-23
1062550778,SynCode,Nishesh1708/SynCode,https://github.com/Nishesh1708/SynCode,2025-09-23 12:05:44,0,2025-09-23
1062550846,GSMFixerBackend,ARUsmani/GSMFixerBackend,https://github.com/ARUsmani/GSMFixerBackend,2025-09-23 12:05:50,0,2025-09-23
1062550877,movie_recommend-using-react-,Eliphaz21/movie_recommend-using-react-,https://github.com/Eliphaz21/movie_recommend-using-react-,2025-09-23 12:05:53,0,2025-09-23
1062550956,laravel,kr1spi123/laravel,https://github.com/kr1spi123/laravel,2025-09-23 12:06:01,0,2025-09-23
1062551013,wow-game,shabeerbackstage-cloud/wow-game,https://github.com/shabeerbackstage-cloud/wow-game,2025-09-23 12:06:09,0,2025-09-23
1062551080,Test,Tix05/Test,https://github.com/Tix05/Test,2025-09-23 12:06:17,0,2025-09-23
1062551137,Front-End,Shadd330/Front-End,https://github.com/Shadd330/Front-End,2025-09-23 12:06:22,0,2025-09-23
1062551173,ai-journal,Lotte-Verheyden/ai-journal,https://github.com/Lotte-Verheyden/ai-journal,2025-09-23 12:06:26,0,2025-09-23
1062551199,my-react-book,David26568888/my-react-book,https://github.com/David26568888/my-react-book,2025-09-23 12:06:29,0,2025-09-23
1062551296,calm-code-check-44-main---PFT,nirmitrip/calm-code-check-44-main---PFT,https://github.com/nirmitrip/calm-code-check-44-main---PFT,2025-09-23 12:06:41,0,2025-09-23
1062551509,swad59aee16f4c54cee93d5eebfee4ab456,static-web-apps-testing-org/swad59aee16f4c54cee93d5eebfee4ab456,https://github.com/static-web-apps-testing-org/swad59aee16f4c54cee93d5eebfee4ab456,2025-09-23 12:07:02,0,2025-09-23
1062551544,Node-JS-Server-Creation-APIs,Pratik-Sakhare-18/Node-JS-Server-Creation-APIs,https://github.com/Pratik-Sakhare-18/Node-JS-Server-Creation-APIs,2025-09-23 12:07:06,0,2025-09-23
1062551635,projek-3,nitewind-waz/projek-3,https://github.com/nitewind-waz/projek-3,2025-09-23 12:07:15,0,2025-09-23
1062551684,mouhsine_elmoudir_u,black-clov/mouhsine_elmoudir_u,https://github.com/black-clov/mouhsine_elmoudir_u,2025-09-23 12:07:20,0,2025-09-23
1062551760,Student-Teacher-Management,NishathRahulB/Student-Teacher-Management,https://github.com/NishathRahulB/Student-Teacher-Management,2025-09-23 12:07:27,0,2025-09-23
1062551770,ng1-catalogue-collection-matrix,NicolasCaen/ng1-catalogue-collection-matrix,https://github.com/NicolasCaen/ng1-catalogue-collection-matrix,2025-09-23 12:07:28,0,2025-09-23
1062551771,swa937e9add9d0543f097b9907a456cb963,static-web-apps-testing-org/swa937e9add9d0543f097b9907a456cb963,https://github.com/static-web-apps-testing-org/swa937e9add9d0543f097b9907a456cb963,2025-09-23 12:07:28,0,2025-09-23
1062551783,uni-app-template,hezechang/uni-app-template,https://github.com/hezechang/uni-app-template,2025-09-23 12:07:30,0,2025-09-23
1062551799,js-web3-daywise-journey,KetanParmar02/js-web3-daywise-journey,https://github.com/KetanParmar02/js-web3-daywise-journey,2025-09-23 12:07:31,0,2025-09-23
1062551838,laravel-test,mouhamedRedaRachidy/laravel-test,https://github.com/mouhamedRedaRachidy/laravel-test,2025-09-23 12:07:35,0,2025-09-23
1062551852,twinsway-tak,abhinand-vp/twinsway-tak,https://github.com/abhinand-vp/twinsway-tak,2025-09-23 12:07:38,0,2025-09-23
1062551873,toko-kue-mama-jenn,Jejeyyyy/toko-kue-mama-jenn,https://github.com/Jejeyyyy/toko-kue-mama-jenn,2025-09-23 12:07:40,0,2025-09-23
1062551881,VRUKSHA,Vinayediga/VRUKSHA,https://github.com/Vinayediga/VRUKSHA,2025-09-23 12:07:41,0,2025-09-23
1062551885,ADITI-WEB,AditiKoundal/ADITI-WEB,https://github.com/AditiKoundal/ADITI-WEB,2025-09-23 12:07:42,0,2025-09-23
1062551927,PayPozn3311131313154546646487987987,BoevojDolphin/PayPozn3311131313154546646487987987,https://github.com/BoevojDolphin/PayPozn3311131313154546646487987987,2025-09-23 12:07:45,0,2025-09-23
1062551951,FirstStop-App,ShrayRK/FirstStop-App,https://github.com/ShrayRK/FirstStop-App,2025-09-23 12:07:47,0,2025-09-23
1062551953,sample-project-1,balaji25-b/sample-project-1,https://github.com/balaji25-b/sample-project-1,2025-09-23 12:07:47,0,2025-09-23
1062552090,swaf7a5f359fa9b4e9aa7ca9e66528b017c,static-web-apps-testing-org/swaf7a5f359fa9b4e9aa7ca9e66528b017c,https://github.com/static-web-apps-testing-org/swaf7a5f359fa9b4e9aa7ca9e66528b017c,2025-09-23 12:08:02,0,2025-09-23
1062552094,swa4398e078c6a44b97a0018da4af22bd6d,static-web-apps-testing-org/swa4398e078c6a44b97a0018da4af22bd6d,https://github.com/static-web-apps-testing-org/swa4398e078c6a44b97a0018da4af22bd6d,2025-09-23 12:08:02,0,2025-09-23
1062552140,Campus_connect,piyushku0331/Campus_connect,https://github.com/piyushku0331/Campus_connect,2025-09-23 12:08:06,0,2025-09-23
1062552167,SOURCE_CODE,asifmohamed491-code/SOURCE_CODE,https://github.com/asifmohamed491-code/SOURCE_CODE,2025-09-23 12:08:08,0,2025-09-23
1062552221,ChatReactIO,VadimBorovuk/ChatReactIO,https://github.com/VadimBorovuk/ChatReactIO,2025-09-23 12:08:14,0,2025-09-23
1062552234,-,work147853-sketch/-,https://github.com/work147853-sketch/-,2025-09-23 12:08:15,0,2025-09-23
1062552241,Simple-Drawing-App,SuleimanSoso/Simple-Drawing-App,https://github.com/SuleimanSoso/Simple-Drawing-App,2025-09-23 12:08:15,0,2025-09-23
1062552285,Containerized-flight-managment,YOSHIMITSU4745/Containerized-flight-managment,https://github.com/YOSHIMITSU4745/Containerized-flight-managment,2025-09-23 12:08:20,0,2025-09-23
